Timestamp,Whats your X username?,Whats your discord username?,Do you follow jumpnads? (Jumpnads X),Are you in jumpnads server? ( Discord),Have you played Jumpnads game?,What do you like and what do you dislike about the game? ( only answer if you have played),What is the one feature you want to see in future jumpnads game updates?,Whats your wallet address ? ( Monad EVM)
5/12/2025 12:46:51,@Samuel68357582,samuelolami,Yes,Yes,No,I never had the experience ,To be at the top,0xE607769dcb1C0c828093ed9066D226C84c9f887a
5/12/2025 12:49:53,@swipasta,@swipasta,Yes,Yes,No,,It easy to navigate ,0xf78f1e1A7126c6ECE2fa26bA1e4af40995599319
5/12/2025 12:52:54,tittomikhati,tittomikhati,Yes,Yes,No,,,0x020A7FAb33B64aaDb01Da803c24A29436C64fD98
5/12/2025 12:59:33,itachi159789,itachi159789,Yes,Yes,No,I don’t know ,I don’t know ,0xfa31723cf2cc9c19faa04d5520e76cdf9bb22062
5/12/2025 13:00:04,@Hharyor_,Hharyor_,Yes,Yes,No,I've not played,Anticipating it all,0xa544D409A191D6B814C3c7bee55d51A6fD434391
5/12/2025 13:01:59,@megane_301415,megane,Yes,Yes,No,,,0xee619a80A689f2532815aFfA05d8Ed0e717aa96A
5/12/2025 13:02:43,@_its_zaddy,z.a.d.d.y.,Yes,Yes,No,,To be on a mobile device,0x91cA00c9e98B805a1D1d1DeBBa91795d9297a50B
5/12/2025 13:11:58,Dgen__web3,Dgen_web3,Yes,Yes,No,,,0xd2b5992c3f0f146a3bde8a155cbd938a64b4544c
5/12/2025 13:12:17,@koodpll,koodoll8983,Yes,Yes,No,,,0xa6D5dFFB22C6755a6ef2550d050dE35aDbDD67D5
5/12/2025 13:13:33,shaka9888,yida888,Yes,Yes,No,I don’t know ,I don’t know ,0x9ff80eb2a2b22b181ea1fbc885a030825cd48922
5/12/2025 13:14:36,Kiara127884959,Kiara_1206,Yes,Yes,No,,,0x5089b3F575dFBcC543bB11298bc48f94f2C943C2
5/12/2025 13:21:11,@BusinessM36951,gldlion5110,Yes,Yes,No,,,0x5315C9fB04340327A4851dE419fF6762998D535B
5/12/2025 13:29:59,nicolas20210505,nicolas20210505,Yes,Yes,No,I don’t know ,I don’t know ,0x078fd87a74f5fe5843b596495e9853431a4a5ced
5/12/2025 13:32:30,Cisco_naija,Ciscowest,Yes,Yes,No,,,0x38983CD67Fe600E13DeF1344B9552335b5da70e8
5/12/2025 13:32:45,atsegbua_d,Imnothere4_clone,Yes,Yes,No,,,0x870cd1f9aefb1257aadf21e997137f3cf4be5b63
5/12/2025 13:34:53,@Shahidazim081,shahidazim081,Yes,Yes,No,,"I did,nt played but i hope you will not judge me for this and will give me nft",0x5FBDf92FcB95facC1E80bC780E97947F669FFB46
5/12/2025 13:35:34,@Dremer70099181,Mimi,Yes,Yes,No,,Mobile,0x34Af04c4003bA202350358b59d45c403C9B4D46c
5/12/2025 13:36:53,@AtDuong77085,easygame_21,Yes,Yes,No,"I haven't experienced the game yet, but I will join the experience as soon as possible with everyone","I like the way of working in groups, it will be positive and connect everyone.",0x88B22270cE1F587675c3fe37D0C241f5B2c96203
5/12/2025 13:38:06,@_sageyoungsmack,@6ixsense0166,Yes,Yes,No,"I haven’t played, because I don’t have access to a computer and I can’t seem to find my way around it on my mobile device. ","The mobile version lags, please help fix and fix bugs too. Make it seamless, easy and fast for we using the mobile so we can enjoy it better. Looking forward to it. ",0x66020188aeF2261277E67a2258FCBd0542a9FE62
5/12/2025 13:38:39,Lamar,Lamar07289,Yes,Yes,No,,Please I would love to know where I can play the game maybe post on x or discord ,0xC3702eC6F8B20eAf2110e1Fcd71a83c44E0102a0
5/12/2025 13:38:53,@Mmoye23173,Rajesh123#9703,Yes,Yes,No,I don't play game because not downloaded so i can't play ,Nothing ,0x698b22f6c1429eA46ff26Db1d432d23e387276E9
5/12/2025 13:41:20,yoyoya0505,yoyoya0505,Yes,Yes,No,I don’t know ,I don’t know ,0x316480767bcd96a677c82f8f987aef2a3af0f362
5/12/2025 13:43:06,meetamanali,amanali7410,Yes,Yes,No,,,0x024D02e75B88ED1ff0061F55D1DE8a8F149203Fb
5/12/2025 13:44:53,@ThuZarOo313254,Heya,Yes,Yes,No,,,0x1511e5272E5c867236e8928930AEC6b2b33C32D5
5/12/2025 13:57:10,syeda4764,Fatimasyeda_1,Yes,Yes,No,,,0x7aee17fe4d2565946f09882bb66afb0063b38029
5/12/2025 13:58:21,danielking_etg,danielking_eth,Yes,Yes,No,,,0x8863913DEaE305E3F6066c018F6b4789075fcC7D
5/12/2025 13:58:46,ironsidezhou ,ironsidezhou ,Yes,Yes,No,,,0x6DF2F29B9437b426ac3161A1b2dB3Cc77F74E64F
5/12/2025 14:50:23,@SeemaK2316,@Seema999,Yes,Yes,No,,,0x83F30Db321656854b2999b6cd34384bf74741127
5/12/2025 14:55:37,@SeemaK2316,@Seema999,Yes,Yes,No,,,0x818C42f3ec7A1A66794f8479D4557fe0dE555A99
5/12/2025 14:57:25,@ondujum25058,onojam3,Yes,Yes,No,Might be a good idea ,More power to jump ,0x0dD7a4b4F216fb48300527a00bE57851Da984240
5/12/2025 14:59:23,Chiwandowski,Chiwandowski,Yes,Yes,No,,Fun and exciting games ,0xF27e05666EC6891F777229633376Ca24181d165B
5/12/2025 15:03:38,Yourc3ptain ,Yourc3ptain ,Yes,Yes,No,,,0xD17DA0A55F1527d9Bf5272063dCaCc0B21B7d678
5/12/2025 15:15:40,bishop2thewrld,bishopofkwasu,Yes,Yes,No,,,0x56D7FD29c17fE8a2f47c8E067C27966BCa67a6Db
